Review,sentiment
"Terimakasih Duitin pelayanannya cepat. Picker nya juga sigap. H-1 sudah berkabar untuk pick up SDU dan hari H picker datang tepat waktu 🥰. Sangat membantu sekali terutama untuk IRT sprti saya dengan anak 1 yg penggunaan POSPAK yg cukup bnyk, dari pada di buang jadi SAMPAH mending di kumpulin jadi DUIT. ♥️♥️✨",1
"Aplikasinya bagus... apakah surabaya udah ada pickernya kak.. soalnya saya nyari g dapat"" tentang penjemputan map. Juga belum akurat .. 🙏🙏🙏🙏. Khususnya daerah surabaya",-1
Awal download ada kota bandung tapi setelah dicoba hampir sebulan klik jual dan mencari duit picker aneh kenapa jadi tidak dapat. Pas dicek lagi wilayah cakupan bandung hilang,-1
"aplikasi nya bagussss. tapi sayang bgttttt wilayah aku belum ada, semoga kedepannya lebih menyebar luas di seluruh wilayah Indonesia yaaa. khususnya Karawang hehe🥰♥️",1
Ko pake kode referal segala yah..klo yang baru download dan tidak ada kode nya tidak bisa yah..kalo emang mo ngebantu seluruh indonesia hapus kode referal nya..biar pada gampang daftar nya..ini sama aja susah..heemmm,-1
"Perfect deh pokoknya, jangan ragu buat download & gunain apk duitin, karena saya sendiri udah ada/dapat pengalaman dari duitin ini ,selain admin nya yg ramah, picker nya juga ramah & tempat waktu saat ambil sampah daur ulang. Terimakasih duitin",1
Saya di Sby Timur lokasi dkt jalan besar. Sy coba mendaftar sesuai prosedur tapi kenapa dari Aplksi Duitin tidak sms/ email kode reveral / otp. Pdhal email & no hp sdh saya coba lengkapi di pendftran.,0
"hai, saya sangat senang karena aplikasi ini secara tidak langsung menyadarkan masyarakat untuk bijak mengelola sampah, sayangnya di kota malang masih belum tersedia, saya harap aplikasi ini dapat diakses dan dipergunakan secara luas❤️❤️❤️❤️🥺🥺🥺🥺",1
"Datang sesuai waktu yg ditentukan, picker nya juga ramah ramah, mantap lah, semoga makin banyak yg mau ngumpulin sampah daur ulang, supaya lingkungan kita lebih bersih🙏🏻",1
Daerah sy prov Sumbar kota payakumbuh blm msk.sy harap bisa melayani seluruh wilayah indonesia tdk hanya kota besar saja tp juga kota kecil juga Smg secepatnya ada penambahan daerah yg dilayani.,0
"dalam sesi pendaftaran saya tidak diberi kode otp untuk verifikasi padahal semuanya sudah jelas & benar, bagaimana ini admin? kita untuk daftar pun cukup mengalami kesulitan",-1
Mungkin untuk kedepannya bisa di luaskan lingkupnya 😀 posisi saya di jateng daerah magelang dan belum bisa untuk mengakses:) semoga secepatnya sudah bisa ya.,1
"Tolong di perbaiki dong, kok saya ga bisa dpt ke OTP ya padahal ada telpon dari aplikasi ini dan ga saya angkat tapi malah mati sendiri telpon nya ( ga ada omongan soal kode OTP )",-1
"Dan terjadi lagi , kisa lama yg terulang kembali ..... kau berulah lagi , dengan aplikasi yg tak bisa di buka dan meminta update namun tak bisa di update karna playstore nya tdk menganjurkan update .... haaadduuuhh",1
"Adanya aplikasi ini agak percuma kalau kita gabisa milih jam sendiri. Klo mau pick up harus wa dulu. Gapapa sih sebenarnya soalnya adminnya baik, driver yg pickup sdunya jg baik. Permasalahannya cuman di waktu aja. Saran juga tolong infoin no telp driver yg mau pickup jg ya",0
Maaf 4 bintang dulu. Aplikasinya memang sangat bagus. Tapi sayang untuk lokasi ku di bekasi utara belum tersedia. Ayo dong untuk bekasi di adain..,1
Kacau balau sih... Masa per liter minyak cuma dihargai 2ribu.. penjemputan tanpa konfirmasi apapun tiba2 picker sudah ke rumah padahal saya masih cek soal harga per liternya laku berapa... Tau gitu mending jual ke tengkulak laku 6rb-7rb per liter... Pas ditimbang dirumah beratnya 6kg...pas ditimbang di BCU Semarang cuma 5kg... Agak kacau sih..kapok pakai duitin hehehe...mending jual ke tengkulak aja cari di grup FB banyak yg mau nampung,-1
"Ka saya susah banget untuk daftar nya, karena ketika dimasukin kode otp nya terjadi kesalahan teruss .... saya tinggal di Bandung ka, saya mau sosialisasiin aplikasi ini ke masyarakat di daerah saya ka soalnya bagus aplikasi nya ... 🙏 tapi terkendala susah daftar nya ...",1
"bagus bgt aplikasinya, perfect. pelayanannya juga bagus. segera download aplikasi ininya. kalian bisa mendapatkan uang juga dengan cara mengumpulkan plastik, karton, dan sebagainya",1
"Aplikasi ini bagus bangetttt. Tapi sayang, baru kota-kota tertentu aja. Semoga cepat berkembang ya kak, keseluruh penjuru indonesia.",1
"Harus nya ada daftar harga per kilo nya dari setiap barang misal palstik ,kertas,almunium,besi,jadi kita semangat gak usah jual ke lapak2 rongsok klo harga nya lebih bagus di sini.",1
Gak bisa daftar padahal udah sesuai prosedu..dapat telpon dr duitin tdk perlu di angkat. Krna 4 terakhir nomor itu otp. Tapi tdk bisa...terjadi kesalahan...,-1
"Bagus aplikasinya. Cuman areanya terbatas. Seandainya nyampai daerah Semarang, Rembang dan sekitarnya mungkin menolong.",0
"Aplikasi yg sangat banyak sekali keuntungannya. Rugi klo ga pake ini..! Lingkungan bersih, barang bisa digunakan-olah kembali, pelayanan ok,frendly dn komunikatif. Yg paling penting Tim Duitin yg datang ke rumah. NICE lah pokoknya. Jaya selalu Duitin semoga aktif sampai akhir. Bantu bangsa jadi lebih bersih dan produktif dn lebih cerdas pilah sampah. Semangaat",1
"Udah bagus sih apk nya bisa narik sampah yg bisa di daur ulang,tapi belum coba manggil pick up buat ngambil sampah di rumah saya,nanti kalau sudah mencoba dan bagus,saya kasih bintang 5",1
"Kasih 3 bintang Dulu kalau apps ini sang at bermanfaat baru saya tambahin lg. Oh ia cs tadi saya isi data alamat saya ko ga bisa ya itu Kenapa tolong penjelasannya, salam kenal saya pengguna baru apps DUITIN ini semoga sukses selalu.Terimakasih!!",0
"Bangga banget di Indonesia ada aplikasi ini, tapi sayangnya dibandung belum ada Picker nya huhu:( semoga cepet cepet ada dibandung yaaa aku ini udah ngumpulin barang-barangnya kak, ntar kalo udah ada dibandung aku ganti lagi bintang nya jadi bintang 5",-1
Masalah OTP mau daftar tidak bisa brkali2 request ada OTP masuk tapi selalu muncul tulisan ketika verifikasi 'Oops terjadi kesalahan cobalah beberapa saat lagi',-1
"kenapa ngga bisa verifikasi ya? padahal saya sudah mengangkat telpnya namun malah ditolak sama sananya.. saya nggak tau salah saya apa, padahal niat saya cuma mau masuk aplikasi dan gabung. mohon perbaikannya ya.. terimakasih",-1
"Sejauh ini alhamdulillah, respon dan app nya baik digunakan,, Terimakasih sudah membantu, dengan app ini sampah bisa jadi simpanan yg lumayan buat ibu2 seperti saya",1
Semoga kita terus berupaya menjadi bagian solusi dari segala paripurna permasalahan sampah dinegeri Indonesia ini,1
"Kak, aku baru aja coba Sdh masukin kode Otp nya 2 kali, yg pertama gagal .. Lalu dy loading aplikasi setelah itu tiba² keluar. Dn ga bisa di buka² lagi sdh aku restart Hp ku",-1
"Setalah beberapa kali coba akhirnya bisa terdaftar jga, ok aku coba dulu app nya kalau bagus bakal di edit lagi komentar nya:)",1
"Aplikasi nya bagus, bisa membantu daur ulang sampah terutama plastik tapi sayang blm ada di kota Bekasi. Semoga semakin diperluas ya daerah cakupannya.",1
"Mengapa saya tidak mendapatkan OTP, berkali-kali saya coba tetap tidak ada OTP, padahal sudah ada notifikasi panggilan? Saya akan perbaiki rating setelah saya bisa verifikasi.",-1
"Bintang 3 dulu soalnya belum ada di daerah kota medan, padahal apk ini udah terbilang bagus dan mungkin bisa bekerjasama dengan pemerintah daerah dalam mengatasi masalah sampah.",0
Apk nya bagus yg belom bisa Regis coba budayakan membaca terus kalo udah bisa tolong di perbaiki ya penilaiannya. BTW kak untuk daerah Kab.Tangerang blm terjangkau ya??,1
"Udh bagus yah aplikasinya,hanya saja dilokasi saya belum terjangkau,tolong di tambahkan,untk lokasi TANGERANG,dan kabupaten tangerang,wilayah cakupan banten,nnti klw udh mencakup wilayah banten,sya tambahin bintangnya👍👍",1
"Sukses untuk aplikasi nya semoga berkembang dan meningkat, untuk yang download diharapkan bersabar karena ini aplikasi sedang berproses menjadi lebih baik, jadi jangan sembarangan ngasih rating jelek, ngasih rating pikirin make otak, seharusnya didukung aplikasi kaya begini, sekali lagi SEMOGA SUKSES & BERKEMBANG!!",1
Saya beri bintang 4 dlu ya min .. klo berhasil transaksi akan saya rubah .. izin bertanya min .. saya pengguna bru aplikasi ini .. pd kolom melengkapi data ada foto bersama identitas diri .. apakah bsa menjamin privasi ini untuk tdk di salah gunakan ..? trima kasih ..,1
"Aku kasih bintang banyak. Walau belom nyoba,,, tapi suka bangettt akhirnya ada aplikasi yg mempermudah daur ulang. Selama ini bingung mau buang buku buku yg ga kepake mau dibuang kemana akhirnya ada solusi di @duitin 💙",1
"Aplikasi nya bagus, tapi mau nanya dong untuk wilayah Lampung khususnya Bandar Lampung sudah bisa belum ya? Karena terakhir saya download masih disekitar Jawa saja blm sampai ke Lampung",1
"Berulang kali order picker tapi gak dapat. Coba hubungi CS via WA, dibaca pun tidak. Aplikasi apaan ini? Kalau belum siap bikin aplikasi, belum siap jadi admin, mending jangan bikin. Memalukan dan gak guna!",-1
"Admin yg sangat ramah sekali, dan aplikasi yg sangat berguna untuk memilah sampah",1
Sungguh mengecewakan baru pertama order sudah di batalkan padah barang yg saya kumpulkan sudah sesuai yg ada di diskripsi saya mau uninstal aja aplikasi ini tidak membantu sama sekali,-1
"Kak kapan ni di Banyuwangi ada?saya tunggu ya untuk di perluas daerahnya,saya kasih bintang 5 biar semangat dan semoga seluruh Indonesia bisa pakai apk ini🙏",1
Saya bingung. Mengapa kode OTP yang saya masukkan selalu ditolak oleh sistem? Tolong benahi sistemnya! Edit (21 Apr): Login sudah berhasil dilakukan dan dibantu oleh CS yang tanggap dan ramah.,1
"Sepertinya bagus aplikasinya, hanya saja cakupan wilayah Surabaya masih belum ada. Padahal Surabaya kota besar. Semoga duitin segera memperluas cakupannya sampai kota Surabaya.",1
"Kok saya ngga bisa mendaftar ya.. Pas di klik daftar, aplksi otomatis keluar sendiri... Knp ya? Mohon penjelasannya",0
saya coba dl...semoga berjalan lancar & sukses...ow ya untuk petugas duitin apakah tiap transaksi selalu membawa timbangan/alat untuk menimbang ulang kembali,1
"senang dengan aplikasi daur ulang ini diharapkan bisa lebih berkembang lagi yaa dan memperbaharui fitur"" yang adaa",1
Aplikasi sangat baguss..membantu bgt kita untuk memilah2 sampah daur ulang dari rumah terus langsung order picker dateng deh..n admin nya responnya cepet bgt n ramah..jangan ragu untuk dowloand aplikasi ini👍👍👍,1
"Saya gabisa verif, padahal udah ada misscall dan ga saya angkat, munculnya malah huruf bukan angka, gabisa d pencet verif kalo huruf 'null' tulisannya",0
"Sy sangat kecewa dengan aplikasi ini, karna sy sudah berkali² mencoba mendaftarkan nomor handphone namun tidak pernah berhasil.",-1
"Kode OTP nya kelamaan. Perbaikan lah provider. Persaingan banyak. Jgn mau kalah. Saya blm dapet kode OTP, kesel duluan. Sistem kurang bagus.",-1
Oke kenapa pas kode otp terjadi kesalahan padahal sesuai dan di ulang beberapa kali? Mohon segera perbaiki. Kalo sudah saya tambah bintang nya,1
Saya baru install apk ini tetapi saat mau daftar kok tiba tiba gabisa ya malah langsung keluar ke layar utama :),-1
"Tolong masukin area kuningan, jawa barat donggggg.. bagus banget ni app nya. Cuma sayang bgt daerahku ga masuk cakupan daerah duitin.",1
Aku mau daftar kenapa tidak bisa ya pas masuk kode otp nya padahal sudah sesuai,0
Dah berhasil diinstal. Diklik daftar kok aplikasi tertutup. Tolong dong penjelasannya,-1
"Bintang 1 dulu krn belum bisa daftar, tiap kali klik daftar, lgsg crash keluar aplikasi.",-1
Semoga aplikasi ini semakin berkembang..karena bisa menjadi peluang untuk tambahan jajan banyak orang..dan yg terpenting..sangat berguna untuk lingkungan,1
Kok bisa saya pas masukin kode otp tulisannya UPS ada yg bermasalah coba beberapa saat lagi dan itu udah hampir 2 bln 🤣,1
Saya mendaftar diluar zona pada aplikasi duitin. Posisi saya di Bandung itu bagaimana solusinya? Ada juga posko duitin di IKEA Kota Baru Parahiyangan. Mohon penjelasan pihak duitin Jakarta. Terimakasih,0
Bintang 3 dulu karena sdh di instal belum bisa masuk selalu minta update dan ketika di update selalu keluar dari aplikasi,0
"Verifikasi OTP bermasalah terus udah di coba berkali"" selama dua hari dan hasil masih sama bermasalah",-1
"Sya berharap daerah bekasi kota dan kabupaten bekasi bisa masuk cakupan wilayah. Karena ini bermanfaat sekali, dijaman pandemi seperti ini, hal kecil yg bisa jadi besar.",1
"Mohon untuk diperluas wilayahnya, ini aplikasi manfaat bgt, tapi sayang cakupannya baru beberapa daerah, saya warga bekasi yang deket jakarta gak bisa nikmatin aplikasinya",0
Pelayanannya bagus dan suka banget responnya cepet. Skrg sampah jg bisa menghasilkan uang seneng dech pake apps ini.,1
Duitin bisa akses sampai LAMPUNG tidak. Aku baru pengguna awal aplikasi ini maaf belum tau bannyak aksesnya😄bantu jawab ya..kk,1
Min kok kode verifikasinya tidak ada(tidak ada panggilan masuk). Sudah kirim ulang berkali kali tetep gak ada panggilan masuk. Mohon berikan solusi.,-1
Keren nih program utk mengumpulkan & memilah barang bekas tak terpakai dgn pick up kerumah ... Semakin giat ibu rumah tangga utk melakukan mulai dari hal yg terkecil di rumah tangga... 👍 Semoga sukses selalu... Amin,1
"Halo, saya pengguna baru namun cakupan daerah untuk kota Balikpapan belum ada, tolong untuk di adakan juga yaa:)",1
Aplikasinya sangat bagus tapi sayang belum ada di beberapa wilayah Indonesia. Semoga kedepannya aplikasi ini lebih baik lagi dan bisa digunakan diseluruh Indonesia.,1
"Aplikasi ini sangat bermanfaat dalam kehidupan sehari-hari, dan bermanfaat juga bagi kelestarian lingkungan. Sukses terus untuk Duitin👑😍☺",1
"Aplikasinya keren tapi belum ada untuk wilayah sumatera Barat, semoga kedepannya ada untuk wilayah sumatera Barat",1
"Sangat membantu sekali aplikasi duitin ini, semoga kedepannya bisa berkembang lg dgn sampah2 lain yg untuk bisa di daur ulang dan harganya jual sampah2 bisa lebih naik 🤭🤭🤭",1
"Bagus banget aplikasinyaa, tapi jangkauan daerahnya masih kurang luas. Tolong perluas lagi dongg apalagi di daerah Jakarta Timur. Saya tinggal di daerah Cakung tp di Ujung Menteng kok ga ada😭",1
